moviename,charactername,time
 Captain America: The First Avenger,Clint Barton,0
 Captain America: The First Avenger,Col. James Rhodes,0
 Captain America: The First Avenger,Crossbones,0
 Captain America: The First Avenger,Darcy Lewis,0
 Captain America: The First Avenger,Darren Cross,0
 Captain America: The First Avenger,Dr. Abraham Erskine,8.5
 Captain America: The First Avenger,Dr. Helen Cho,0
 Captain America: The First Avenger,Dr. Stephen Strange,0
 Captain America: The First Avenger,Drax the Destroyer,0
 Captain America: The First Avenger,Ego the Living Planet,0
 Captain America: The First Avenger,Emil Blonsky,0
 Captain America: The First Avenger,Erik Selvig,0
 Captain America: The First Avenger,Fandral,0
 Captain America: The First Avenger,Frigga,0
 Captain America: The First Avenger,Gamora,0
 Captain America: The First Avenger,Gen. Thaddeus Ross,0
 Captain America: The First Avenger,Grandmaster,0
 Captain America: The First Avenger,Groot,0
 Captain America: The First Avenger,Hank Pym,0
 Captain America: The First Avenger,Happy Hogan,0
 Captain America: The First Avenger,Harley Keener,0
 Captain America: The First Avenger,Heimdall,0
 Captain America: The First Avenger,Hela,0
 Captain America: The First Avenger,Ho Yinsen,0
 Captain America: The First Avenger,Hogun,0
 Captain America: The First Avenger,Hope van Dyne,0
 Captain America: The First Avenger,Howard Stark,4
 Captain America: The First Avenger,Ivan Vanko,0
 Captain America: The First Avenger,Jane Foster,0
 Captain America: The First Avenger,Jasper Sitwell,0
 Captain America: The First Avenger,Johann Schmidt,15.5
 Captain America: The First Avenger,Justin Hammer,0
 Captain America: The First Avenger,Kaecilius,0
 Captain America: The First Avenger,King Laufey,0
 Captain America: The First Avenger,Korg,0
 Captain America: The First Avenger,Kraglin,0
 Captain America: The First Avenger,Laura Barton,0
 Captain America: The First Avenger,Liz Allan,0
 Captain America: The First Avenger,Loki,0
 Captain America: The First Avenger,Luis,0
 Captain America: The First Avenger,Malekith the Accursed,0
 Captain America: The First Avenger,Mantis,0
 Captain America: The First Avenger,Maria Hill,0
 Captain America: The First Avenger,May Parker,0
 Captain America: The First Avenger,Maya Hansen,0
 Captain America: The First Avenger,Natasha Romanoff,0
 Captain America: The First Avenger,Nebula,0
 Captain America: The First Avenger,Ned Leeds,0
 Captain America: The First Avenger,Nick Fury,0.5
 Captain America: The First Avenger,Obadiah Stane,0
 Captain America: The First Avenger,Odin,0
 Captain America: The First Avenger,Paxton,0
 Captain America: The First Avenger,Peggy Carter,17.25
 Captain America: The First Avenger,Pepper Potts,0
 Captain America: The First Avenger,Peter Parker,0
 Captain America: The First Avenger,Peter Quill,0
 Captain America: The First Avenger,Pietro Maximoff,0
 Captain America: The First Avenger,Raza,0
 Captain America: The First Avenger,Rocket Raccoon,0
 Captain America: The First Avenger,Ronan the Accuser,0
 Captain America: The First Avenger,Sam Wilson,0
 Captain America: The First Avenger,Samuel Sterns,0
 Captain America: The First Avenger,Savin,0
 Captain America: The First Avenger,Scott Lang,0
 Captain America: The First Avenger,Sharon Carter,0
 Captain America: The First Avenger,Sif,0
 Captain America: The First Avenger,Skurge,0
 Captain America: The First Avenger,Steve Rogers,56.5
 Captain America: The First Avenger,T'Challa,0
 Captain America: The First Avenger,Taserface,0
 Captain America: The First Avenger,The Collector,0
 Captain America: The First Avenger,Thor,0
 Captain America: The First Avenger,Tinkerer,0
 Captain America: The First Avenger,Tony Stark,0
 Captain America: The First Avenger,Trevor Slattery,0
 Captain America: The First Avenger,Ultron,0
 Captain America: The First Avenger,Valkyrie,0
 Captain America: The First Avenger,Vision,0
 Captain America: The First Avenger,Volstagg,0
 Captain America: The First Avenger,Wanda Maximoff,0
 Captain America: The First Avenger,Wong,0
 Captain America: The First Avenger,Yondu Udonta,0
 Captain America: The First Avenger,Zemo,0
 Captain America: The Winter Soldier,Adrian Toomes,0
 Captain America: The Winter Soldier,Agent Phil Coulson,0
 Captain America: The Winter Soldier,Aldrich Killian,0
 Captain America: The Winter Soldier,Alexander Pierce,12.75
 Captain America: The Winter Soldier,Algrim,0
 Captain America: The Winter Soldier,Ancient One,0
 Captain America: The Winter Soldier,Arnim Zola,2.25
 Captain America: The Winter Soldier,Ayesha,0
 Captain America: The Winter Soldier,Baron Mordo,0
 Captain America: The Winter Soldier,Betty Ross,0
 Captain America: The Winter Soldier,Bruce Banner,0
 Captain America: The Winter Soldier,Bucky Barnes,13.25
 Captain America: The Winter Soldier,Cassandra Lang,0
 Captain America: The Winter Soldier,Chester Phillips,0
 Captain America: The Winter Soldier,Christine Everhart,0
 Captain America: The Winter Soldier,Christine Palmer,0
 Captain America: The Winter Soldier,Clint Barton,0
 Captain America: The Winter Soldier,Col. James Rhodes,0
 Captain America: The Winter Soldier,Crossbones,6.25
 Captain America: The Winter Soldier,Darcy Lewis,0
 Captain America: The Winter Soldier,Darren Cross,0
 Captain America: The Winter Soldier,Dr. Abraham Erskine,0
 Captain America: The Winter Soldier,Dr. Helen Cho,0
 Captain America: The Winter Soldier,Dr. Stephen Strange,0
 Captain America: The Winter Soldier,Drax the Destroyer,0
 Captain America: The Winter Soldier,Ego the Living Planet,0
 Captain America: The Winter Soldier,Emil Blonsky,0
 Captain America: The Winter Soldier,Erik Selvig,0
 Captain America: The Winter Soldier,Fandral,0
 Captain America: The Winter Soldier,Frigga,0
