moviename,charactername,time,totaltime
Captain America: The Winter Soldier,Wanda Maximoff,0.25,23
Captain America: The Winter Soldier,Wong,0,7
Captain America: The Winter Soldier,Yondu Udonta,0,22.25
Captain America: The Winter Soldier,Zemo,0,10.5
Doctor Strange,Adrian Toomes,0,19
Doctor Strange,Agent Phil Coulson,0,18.75
Doctor Strange,Aldrich Killian,0,12
Doctor Strange,Alexander Pierce,0,12.75
Doctor Strange,Algrim,0,6.25
Doctor Strange,Ancient One,17.25,17.25
Doctor Strange,Arnim Zola,0,10.5
Doctor Strange,Ayesha,0,3.5
Doctor Strange,Baron Mordo,17.75,17.75
Doctor Strange,Betty Ross,0,27
Doctor Strange,Bruce Banner,0,112.75
Doctor Strange,Bucky Barnes,0,43.5
Doctor Strange,Cassandra Lang,0,4.5
Doctor Strange,Chester Phillips,0,9.25
Doctor Strange,Christine Everhart,0,5.25
Doctor Strange,Christine Palmer,12.75,12.75
Doctor Strange,Clint Barton,0,32.5
Doctor Strange,Col. James Rhodes,0,46.5
Doctor Strange,Crossbones,0,8.5
Doctor Strange,Darcy Lewis,0,17.25
Doctor Strange,Darren Cross,0,14.5
Doctor Strange,Dr. Abraham Erskine,0,8.5
Doctor Strange,Dr. Helen Cho,0,3.25
Doctor Strange,Dr. Stephen Strange,73.5,76.25
Doctor Strange,Drax the Destroyer,0,34.5
Doctor Strange,Ego the Living Planet,0,17.5
Doctor Strange,Emil Blonsky,0,18.5
Doctor Strange,Erik Selvig,0,24
Doctor Strange,Fandral,0,9.5
Doctor Strange,Frigga,0,6
Doctor Strange,Gamora,0,55
Doctor Strange,Gen. Thaddeus Ross,0,17.75
Doctor Strange,Grandmaster,0,6
Doctor Strange,Groot,0,29.5
Doctor Strange,Hank Pym,0,24.75
Doctor Strange,Happy Hogan,0,17.75
Doctor Strange,Harley Keener,0,6.25
Doctor Strange,Heimdall,0,13.5
Doctor Strange,Hela,0,12.25
Doctor Strange,Ho Yinsen,0,11
Doctor Strange,Hogun,0,8.25
Doctor Strange,Hope van Dyne,0,15.75
Doctor Strange,Howard Stark,0,8.75
Doctor Strange,Ivan Vanko,0,20.75
Doctor Strange,Jane Foster,0,46
Doctor Strange,Jasper Sitwell,0,5.5
Doctor Strange,Johann Schmidt,0,15.5
Doctor Strange,Justin Hammer,0,16.5
Doctor Strange,Kaecilius,12.75,12.75
Doctor Strange,King Laufey,0,3.5
Doctor Strange,Korg,0,3.75
Doctor Strange,Kraglin,0,6.5
Doctor Strange,Laura Barton,0,3.75
Doctor Strange,Liz Allan,0,9.75
Doctor Strange,Loki,0,75.25
Doctor Strange,Luis,0,7
Doctor Strange,Malekith the Accursed,0,8.75
Doctor Strange,Mantis,0,11
Doctor Strange,Maria Hill,0,11.75
Doctor Strange,May Parker,0,5
Doctor Strange,Maya Hansen,0,8.75
Doctor Strange,Natasha Romanoff,0,89
Doctor Strange,Nebula,0,15
Doctor Strange,Ned Leeds,0,13.75
Doctor Strange,Nick Fury,0,43.75
Doctor Strange,Obadiah Stane,0,22
Doctor Strange,Odin,0,23.75
Doctor Strange,Paxton,0,4.5
Doctor Strange,Peggy Carter,0,20.5
Doctor Strange,Pepper Potts,0,64
Doctor Strange,Peter Parker,0,84.75
Doctor Strange,Peter Quill,0,82.5
Doctor Strange,Pietro Maximoff,0,10.25
Doctor Strange,Raza,0,6
Doctor Strange,Rocket Raccoon,0,39.25
Doctor Strange,Ronan the Accuser,0,7.75
Doctor Strange,Sam Wilson,0,28
Doctor Strange,Samuel Sterns,0,7.5
Doctor Strange,Savin,0,6
Doctor Strange,Scott Lang,0,56
Doctor Strange,Sharon Carter,0,7.5
Doctor Strange,Sif,0,11.5
Doctor Strange,Skurge,0,6.75
Doctor Strange,Steve Rogers,0,205.25
Doctor Strange,T'Challa,0,11.5
Doctor Strange,Taserface,0,4.25
